name,date,venue,price,time,url,description,tags,status,notes
Fear Fair,all month,Sign Bar,$15,varies,,"""Spine-chilling haunted maze experience"" that ends in cocktails",,,
The Nightmare Before Christmas Light Trail,all month,Lady Bird Johnson Wildflower Center,$27-$67+,varies,,Walk through Nightmare Before Christmas-themed decorations + lights,,,
Moe's Tavern Pop-Up,all month,Nickel City,free,varies,,Nickel City gets into costume season w/its annual Simpsons-themed makeover as Moe's Tavern,,,
spooky movies,all month,Hyperreal Film Club,$8+,varies,,Hyperreal serves up a mix of Halloween classics + curated lesser known horror flicks all month long,,,
Haunted Shores,all month,Volente Beach,$15,varies,,"Check out spooky scenes along the lakeshore via a boat or foot, w/photo ops + themed cocktails",,,
Black Lagoon Pop-Up,all month,King Bee,free,varies,,"""An immersive, creepy-as-hell, cocktail expeirence"" in a dungeon, costumes encouraged",,,
Frankenstein's Cocktail Bar,all month,Wanderlust Wine Co.,$20+,varies,,Bar that's been intensely decorated by a mad scientist complete with cocktails in beakers w/photo ops + tarot,,,
Twisted Carnival,all month,Gibson St. Bar,free,varies,,"Drink spooky themed cocktails amidst creepy carnival decorations. ""Never trust anyone at the carnival"" they say...",,,
Texas Pumpkin Patch,all month,"8760 FM 2243, Leander",$15,varies,,"A pumpkin patch with its own breathless commercial touting live music, pony rides, petting zoo, + lotsa family friendly stuff",,,
House of Torment,all month,2632 Ridgepoint Dr,$20+,varies,,"A big scary house with actors in costume ready to deliver jumpscares, plus escape games + axe throwing",,,
Pumpkin Nights,all month,Pioneer Farms,$22+,varies,,A wide array of large-scale haunted themed outdoor scultpures + Instagram photo ops,,,
Bat City Scaregrounds,all month,"14101 South Turnersville Road, Buda",$28+,Thurs-Sun,,"A compound of immersive frights including multiple haunted houses, live music, horror-centric celebrity appearances, + vendors",,,
Escape from Lydia's Hollow,Wed 10/1,The WCP Student Activity Center,$13,varies,,"A werewolf escape room ""tailored to your level of horror"" w/jumpscares from live actors (if that's your level)",,,
,Thu 10/2,,,,,,,,
Halloween Movie Night + Pumpkin Painting,Thu 10/2,Meanwhile Brewing,free,6pm,,Watch a classic Halloween flick outdoors + paint a pumpkin or two,,,
,Thu 10/9,,,,,,,,
,Thu 10/16,,,,,,,,
,Thu 10/23,,,,,,,,
,Thu 10/30,,,,,,,,
Pumpkin Carving Night,Thu 10/2,The Little Gay Shop,$15,6:30-9pm,,Carve the best pumpkin (BYOP or buy there) to win a gift card,,,
The Galactic Salon: Spectre,Thu 10/2,Kick Butt Coffee,$15,7pm,,"Burlesque performers + live readings of spooky tales ""by both dressed, + somewhat undressed readers""",,,
Cobweb Cabaret,Thu 10/2,The State Theatre,$33,8:30pm,,"Spooky + glam-inspired burlesque troupe promises ""the finest showghouls around""",,,
Weird Science Theater,Thu 10/2,Elysium,$9,9:30pm,,Drag performers inspired by body horror film The Cell,,,
Scare for a Cure: Mind Crawlers,Fri 10/3,Old West Market,$40+,varies,,Support charities by getting creepy with strange people who seem to be affected by brain worms. How 2025!,,,
,Sat 10/4,,,,,,,,
,Fri 10/10,,,,,,,,
,Sat 10/11,,,,,,,,
,Thu 10/16,,,,,,,,
,Fri 10/17,,,,,,,,
,Sat 10/18,,,,,,,,
,Thu 10/23,,,,,,,,
,Fri 10/24,,,,,,,,
,Sat 10/25,,,,,,,,
Halloween Opun Mic Night,Fri 10/3,Coldtowne,free,5:30pm,,"Take the stage yourself w/Halloween-themed puns, improv, + other forms of comedy",,,
Meow-lloween Movie Night,Fri 10/3,Purrfecto Cat Lounge,$41,7:20pm,,Cuddle adoptable kitties while watching a spooky film,,,
,Fri 10/17,,,,,Cuddle with adoptable kitties while watching a spooky film,,,
,Fri 10/24,,,,,Cuddle adoptable kitties while watching a spooky film,,,
Freaky Fridays,Fri 10/3,Double Trouble,free,8pm,,Backyard spooky films curated by noted VHS collector + they're throwing in free popcorn,,,
,Fri 10/10,,,,,,,,
,Fri 10/17,,,,,,,,
,Fri 10/24,,,,,,,,
,Fri 10/31,,,,,,,,
Halloween/ACL Art Market,Fri 10/3,Propaganda HQ,free,6-10pm,,"Halloween + ACL-inspired art inside, vendors outside",,,
Welcome to Dogwarts,Sat 10/4,The Watering Bowl,free,10am,,"Local dog park reimagines itself as a Harry Potter locale w/vendors, costume contest, + raffle",,,
Halloween Bazaar,Sat 10/4,"Ruiz Branch, Austin Public Library",free,12-3pm,,"Carnival games, family-friendly Halloween crafts, face painting, + don't forget the treats",,,
Inferno,Sat 10/4,We Luv Video,$5,7pm,,Watch a classic film from Italy's master of phantasmagorical horror while surrounded by VHS tapes,,,
Jane of the Dead,Sat 10/4,Fallout,$16,7pm,,Local Jane Austen-themed improv troupe throws zombies + cryptids into the 19th century mix,,,
,Sun 10/5,,,6pm,,,,,
,Sat 10/11,,,7pm,,,,,
,Sun 10/12,,,6pm,,,,,
,Fri 10/31,Coldtowne,?,8pm,,,,,
Cult Classics,Sat 10/4,Laché Movement Co.,donation,7pm,,"A ""monstrous squad of pole performers"" + aerialists and acrobats also inspired by cult horror monsters",,,
Dark Ritual,Sat 10/4,Captain Quack's,free,7pm-12am,,DJs spinning Goth / Post-punk + Darkwave w/accompanying visuals,,,
20th Century Goth Club,Sat 10/4,Elysium,,9:30pm-2am,,"At a 20th century goth dance party, someone once sung ""I dress this way just to keep them at bay coz Halloween is every day""",,,
Tim Burton Drag Tribute,Sun 10/5,Ani's Day + Night,$10,1pm,,"Tim Burton inspires the ""best of the best alt drag in tejas has to offer"" w/vendors + DJ",,,
Re-Animator,Mon 10/6,The Paramount,$35+,7pm,,Celebrate the 40th anniversary of 80s horror classic film w/screening and Q+A w/actors from the film,,,
Monday Night Jammie Jam: Haunted House Party,Mon 10/6,Kick Butt Coffee,$11+,7:45pm,,Slumber party + Halloween ghoulishness-themed burlesque + variety performers,,,
Greetings from Queer Mountain Witchy Spirituality Night,Wed 10/8,Cheer Up Charlie's,,8pm,,"Storytelling, tarot, + performances by local witchy queer folks",,,
Elvira: Mistress of the Dark,Wed 10/8,Double Trouble,free,8pm,,"Watch horror hostess Elvira's turn on the silver screen accompanied by drag, trivia, + popcorn",,,
Trick or Treat Yourself,Thu 10/9,Vinyl Beauty Bar,free,7-10pm,,"Vinyl DJs spinning spooky tunes w/chair massages, manicures, hair styling, + ""witch hat craft station""",,,
The Rocky Horror Picture Show 50th Anniversary,Thu 10/9,The Long Center,$44+,8pm,,Watch the ultimate cult movie in costume w/provided interactive props + an original castmember,,,
Neon Rainbows' Haunted Hoedown,Thu 10/9,Elysium,$20,8pm,,"""BOO-scootin boogie"" comes to Elysium w/linedancing lessons, drag, + ""cowboy go-go dancers""",,,
Witch Fest,Fri 10/10,Ani's Day and Night,free,6-10pm,,"Which fest? This one w/fire dancing, live music, + ""magical vendors""",,,
Austin Horror Film Festival,Fri 10/10,29th St. Ballroom,$13-$83+,6pm-2am,,"Fest of horror shorts + feature films about creepies, crawlies, werewolves, + a murderous armadillo puppet",,,
,Sat 10/11,,,12-9pm,,,,,
Speak No More: Contagion,Fri 10/10,Independence Brewing,$30,8pm,,Site-specific immersive performance inspired by sci-fi horror classics like Alien + John Carpenter's The Thing,,,
,Sat 10/11,,,,,,,,
,Sun 10/12,,,,,,,,
,Fri 10/17,,,,,,,,
,Sat 10/18,,,,,,,,
,Sun 10/19,,,,,,,,
,Fri 10/24,,,,,,,,
,Sat 10/25,,,,,,,,
,Sun 10/26,,,,,,,,
,Fri 10/31,,,,,,,,
,Sat 11/1,,,,,,,,
,Sun 11/2,,,,,,,,
Scream Queens Halloween Drag Show,Fri 10/10,St. Elmo South,free,8pm,,Louisiana Purchase-led spooky drag show w/spooky DJ,,,
Pastel Halloween,Fri 10/10,Elysium,$10,11pm,,Dress up in costume to watch pastel-colored drag performers + monsters,,,
Halloween Costume and Thrift Sale,Sat 10/11,Memorial United Methodist Church,free,11am-6pm,,"Buy a secondhand Halloween costume + save the planet, man",,,
,Sun 10/12,,,,,,,,
Austin Witches Market,Sat 10/11,Cosmic Saltillo,free,6-10pm,,"Tis the season for witchy vendors, Austin Witches Mareket is here year round but in October they hit their stride",,,
,Sun 10/12,Radio East,,12-4pm,,,,,
,Sat 10/18,Brewtorium,,,,,,,
,Sat 10/25,Drinks Backyard,,6-10pm,,,,,
,Sun 10/26,Far Out Lounge,,,,,,,
Living Funeral Ceremony,Sat 10/11,,$50-$100,2-4:30pm,,Embrace your own mortality in a gentle supportive environment,,,
Scary Movie,Sat 10/11,We Luv Video,$5,7pm,,Watch a cult horror film made in Austin in 1991 + stay for a Q&A with the director,,,
Pet Sematary + Hausu,Sat 10/11,The Paramount,$12,7pm,,Louisiana Purchase presents Japanese + American horror favorites,,,
BOOty Bash,Sat 10/11,Capt. Quack's,$32,8pm,,"""A petrifying party of pasties"" w/spooky burlesque performers, contests for best costume + best screaming",,,
Los Muertos,Sat 10/11,Elysium,$10,9:30pm,,"DJs of Latin/Hispanic heritage play goth + darkwave tunes in Spanish or by Latin/Hispanic artists + also ""goth salsa dancing""",,,
Trick or Treat,Sat 10/11,Oddwood Brewing,free,9pm,,Watch a 1980s heavy metal-themed slasher flick + enjoy happy hour and dollar snacks,,,
Nevermore,Sat 10/11,Empire,$15,9pm,,"Scant details available but apparently a Poe-inspired dance party w/goth, darkwave, + industrial tunes",,,
Little Gay Shop of Horrors,Sun 10/12,Distribution Hall,free,11am-5pm,,Little Gay Shop-curated vendors w/free drinks + a doggy costume contest,,,
Pumpkin Painting with Goats,Sun 10/12,The Hive,$26,2-3:30pm,,Painting a pumpkin paired with some adorable farm critters,,,
Trunk or Treat,Sun 10/12,3600 Lyons,free,5-9pm,,Decorate your trunk + wear a costume to win prizes,,,
Short Film Horror Showcase,Mon 10/13,29th St. Ballroom,$12,8pm,,"The films are horror-themed + short, the filmmakers are Texan + of varying heights",,,
Nightware on Elm Street,Mon 10/13,Kick Butt Coffee,$11+,8:30pm,,Spooky burlesque performers will haunt your dreams,,,
Pumpkin Painting with Cats,Tue 10/14,Purrfecto Cat Lounge,$49,6:30pm,,Paint a pumpkin while surrounded by rescue cats. All errant cat hairs provided free of charge,,,
Local Queer Witchcraft Night,Tue 10/14,Wheatsville S. Lamar,,6:30pm,,Craft up some spooky wooden houses while watching Halloweentown,,,
Ghost Story Open Mic,Tue 10/14,Tiny Minotaur,$5,7pm,,Bring your creepiest ghost stories to regale the audience or just enjoy the show,,,
(SPF 1000) Vampire Sunscreen Live Taping,Thu 10/16,The Vortex,free,5pm,,Live taping of a podcast about the darkness inside us all,,,
Egg Party Presents AHHHHHHHHHHH,Thu 10/16,Fallout,$22,7pm,,Wear your Halloween costume to check out some Halloween-themed sketch comedy,,,
,Fri 10/17,,,8:30pm,,,,,
,Sat 10/18,,,7pm,,,,,
,Sun 10/19,,,,,,,,
An American Werewolf in London,Thu 10/16,The Paramount,$25+,7pm,,Watch this 80s classic werewolf film that will have you questioning your international travel choices,,,
Queer Film Theory: Scream Queens,Thu 10/16,The Highball,,7pm,,"“Basically, we ruin films for straight people + yell about the characters that made us feel gay”",,,
Junji Ito Drag Show,Thu 10/16,The Highball,free,9pm,,Drag performers inspired by cult manga artist Junji Ito's bizarre horror works,,,
Noxx's Nightshade Nerdlesque: Silver Screams,Fri 10/17,Showpony Lounge,$14,7:30pm,,Nerdlesque performances inspired by nerdy horror flicks,,,
Jack-O,Fri 10/17,We Luv Video,$5,7:30pm,,"Watch a nostalgic 90s horror flick involving witchcraft, a babysitter, + a ""pumpkin headed wielding murder guy""",,,
Goblintown,Sat 10/18,Tiny Minotaur,$13,12pm-12am,,"Summon yr inner goblin w/goblin-themed storytelling, face painting, goblin ear workshops, live music, tarot, costume contest",,,
Cannibal! The Musical,Sat 10/18,We Luv Video,$12,5pm,,"Genre film popup, free BBQ that probably isn't human meat, + screening of South Park creators' cannibal-themed musical",,,
Freaks of Clay,Sat 10/18,Feats of Clay Pottery,$5,6-9pm,,"Vendor night market, tattoos, carnival games, photo booth, costume contest, performance art, + pottery demos",,,
Scared Silly,Sat 10/18,Collection Rert,free,6-9pm,,Art show w/local artists tackling spooky subject material,,,
The Bloody Ball: A Vampyre Soirée,Sat 10/18,The Vortex,$50,7pm-1am,,"Glam-themed ball w/a blood-red carpet, live music, DJ, themed drinks, + vampyric dress code",,,
Coven Academy,Sat 10/18,Dottiewood Studios,$47,8pm-1am,,All-femme witch school-themed costume / rager / dance party,,,
